iso_time,epoch_s,voltage_v,current_a,power_w,soc_pct
2026-08-15T13:25:49,1786825549.343,13.2662,1.2375,16.4170,100.00
2026-08-15T13:25:59,1786825559.629,13.2163,1.3438,17.7593,100.00
2026-08-15T13:26:09,1786825569.917,13.1662,1.4100,18.5644,100.00
2026-08-15T13:26:20,1786825580.289,13.1263,1.5350,20.1488,100.00
2026-08-15T13:26:30,1786825590.730,13.1225,1.2825,16.8296,100.00
2026-08-15T13:26:41,1786825601.131,13.0762,1.6338,21.3633,99.57
2026-08-15T13:26:51,1786825611.476,13.0888,1.3363,17.4898,98.36
2026-08-15T13:27:01,1786825621.816,13.0825,1.3275,17.3670,97.48
2026-08-15T13:27:12,1786825632.128,13.0838,1.2525,16.3874,96.84
2026-08-15T13:27:22,1786825642.473,13.0775,1.3838,18.0960,96.46
2026-08-15T13:27:32,1786825652.716,13.0250,1.7650,22.9891,94.74
2026-08-15T13:27:42,1786825662.986,13.0650,1.2700,16.5925,93.98
2026-08-15T13:27:53,1786825673.301,13.0587,1.3150,17.1723,93.79
2026-08-15T13:28:03,1786825683.631,13.0625,1.2950,16.9159,93.79
2026-08-15T13:28:13,1786825693.905,13.0600,1.4988,19.5737,93.79
2026-08-15T13:28:24,1786825704.318,13.0675,1.3188,17.2328,93.79
2026-08-15T13:28:34,1786825714.683,13.0625,1.3013,16.9976,93.79
2026-08-15T13:28:45,1786825725.033,13.0638,1.3188,17.2278,93.79
2026-08-15T13:28:55,1786825735.365,13.0638,1.3588,17.7504,93.79
2026-08-15T13:29:05,1786825745.626,13.0625,1.3500,17.6344,93.79
2026-08-15T13:29:15,1786825755.946,13.0625,1.2375,16.1648,93.79
2026-08-15T13:29:26,1786825766.228,13.0625,1.2988,16.9649,93.79
2026-08-15T13:29:36,1786825776.514,13.0587,1.3963,18.2333,93.79
2026-08-15T13:29:46,1786825786.795,13.0613,1.3475,17.6000,93.79
2026-08-15T13:29:57,1786825797.016,13.0600,1.3013,16.9943,93.79
2026-08-15T13:30:07,1786825807.317,13.0563,1.3388,17.4791,93.79
2026-08-15T13:30:17,1786825817.782,13.0575,1.3838,18.0683,93.79
2026-08-15T13:30:28,1786825828.125,13.0575,1.3488,17.6113,93.79
2026-08-15T13:30:38,1786825838.482,13.0600,1.3275,17.3372,93.79
2026-08-15T13:30:48,1786825848.771,13.0550,1.3413,17.5100,93.79
2026-08-15T13:30:59,1786825859.101,13.0538,1.3825,18.0468,93.79
2026-08-15T13:31:09,1786825869.429,13.0563,1.3088,17.0874,93.79
2026-08-15T13:31:19,1786825879.768,13.0525,1.4512,18.9424,93.79
2026-08-15T13:31:30,1786825890.196,13.0450,1.4063,18.3445,93.79
2026-08-15T13:31:40,1786825900.444,13.0613,1.3325,17.4041,93.79
2026-08-15T13:31:50,1786825910.707,13.0650,1.2500,16.3313,93.79
2026-08-15T13:32:01,1786825921.123,13.0512,1.4163,18.4838,93.79
2026-08-15T13:32:11,1786825931.428,13.0538,1.4763,19.2706,93.79
2026-08-15T13:32:21,1786825941.642,13.0550,1.2938,16.8899,93.79
2026-08-15T13:32:31,1786825951.924,13.0613,1.2925,16.8817,93.79
2026-08-15T13:32:42,1786825962.162,13.0613,1.2675,16.5551,93.79
2026-08-15T13:32:52,1786825972.323,13.0550,1.2950,16.9062,93.79
2026-08-15T13:33:02,1786825982.576,13.0613,1.2900,16.8490,93.79
2026-08-15T13:33:12,1786825992.839,13.0625,1.3562,17.7160,93.79
2026-08-15T13:33:23,1786826003.137,13.0600,1.3662,17.8432,93.79
2026-08-15T13:33:33,1786826013.395,13.0600,1.3650,17.8269,93.79
2026-08-15T13:33:43,1786826023.693,13.0638,1.3100,17.1135,93.79
2026-08-15T13:33:54,1786826034.036,13.0525,1.3838,18.0614,93.79
2026-08-15T13:34:04,1786826044.490,13.0625,1.3725,17.9283,93.79
2026-08-15T13:34:14,1786826054.785,13.0650,1.2738,16.6415,93.79
2026-08-15T13:34:25,1786826065.093,13.0525,1.3887,18.1267,93.79
2026-08-15T13:34:35,1786826075.285,13.0575,1.3462,17.5787,93.79
2026-08-15T13:34:45,1786826085.696,13.0613,1.4087,18.4000,93.79
2026-08-15T13:34:55,1786826095.971,13.0563,1.3300,17.3648,93.79
2026-08-15T13:35:06,1786826106.244,13.0550,1.3562,17.7058,93.79
2026-08-15T13:35:16,1786826116.577,13.0587,1.3613,17.7762,93.79
2026-08-15T13:35:26,1786826126.845,13.0600,1.3200,17.2392,93.79
2026-08-15T13:35:37,1786826137.101,13.0600,1.3513,17.6473,93.79
2026-08-15T13:35:47,1786826147.435,13.0638,1.2675,16.5583,93.79
2026-08-15T13:35:57,1786826157.869,13.0587,1.3400,17.4987,93.79
2026-08-15T13:36:08,1786826168.128,13.0563,1.3088,17.0874,93.79
2026-08-15T13:36:18,1786826178.343,13.0550,1.3475,17.5916,93.79
2026-08-15T13:36:28,1786826188.603,13.0587,1.2900,16.8458,93.79
2026-08-15T13:36:38,1786826198.804,13.0500,1.3425,17.5196,93.79
2026-08-15T13:36:49,1786826209.059,13.0512,1.3750,17.9455,93.79
2026-08-15T13:36:59,1786826219.304,13.0337,1.6650,21.7012,93.79
2026-08-15T13:37:09,1786826229.532,13.0550,1.3650,17.8201,93.79
2026-08-15T13:37:19,1786826239.834,13.0625,1.2738,16.6384,93.79
2026-08-15T13:37:30,1786826250.178,13.0575,1.3113,17.1216,93.79
2026-08-15T13:37:40,1786826260.402,13.0575,1.4475,18.9007,93.79
2026-08-15T13:37:50,1786826270.779,13.0600,1.3175,17.2066,93.79
2026-08-15T13:38:01,1786826281.086,13.0625,1.2750,16.6547,93.79
2026-08-15T13:38:11,1786826291.376,13.0563,1.3200,17.2343,93.79
2026-08-15T13:38:21,1786826301.691,13.0587,1.2750,16.6499,93.79
2026-08-15T13:38:31,1786826311.918,13.0625,1.2688,16.5730,93.79
2026-08-15T13:38:42,1786826322.275,13.0587,1.3738,17.9395,93.79
2026-08-15T13:38:52,1786826332.739,13.0650,1.2763,16.6742,93.79
2026-08-15T13:39:03,1786826343.088,13.0613,1.3213,17.2572,93.79
2026-08-15T13:39:13,1786826353.472,13.0538,1.4250,18.6016,93.79
2026-08-15T13:39:23,1786826363.786,13.0575,1.3213,17.2522,93.79
2026-08-15T13:39:34,1786826374.078,13.0575,1.3388,17.4807,93.79
2026-08-15T13:39:44,1786826384.356,13.0525,1.4063,18.3551,93.79
2026-08-15T13:39:54,1786826394.653,13.0587,1.2988,16.9601,93.79
2026-08-15T13:40:05,1786826405.120,13.0512,1.3725,17.9128,93.79
2026-08-15T13:40:15,1786826415.438,13.0575,1.4063,18.3621,93.79
2026-08-15T13:40:25,1786826425.726,13.0575,1.3700,17.8888,93.79
2026-08-15T13:40:35,1786826435.941,13.0563,1.2975,16.9405,93.79
2026-08-15T13:40:46,1786826446.204,13.0587,1.3263,17.3192,93.79
2026-08-15T13:40:56,1786826456.532,13.0613,1.2963,16.9306,93.79
2026-08-15T13:41:06,1786826466.827,13.0600,1.3175,17.2066,93.79
2026-08-15T13:41:17,1786826477.190,13.0650,1.2750,16.6579,93.79
2026-08-15T13:41:27,1786826487.488,13.0563,1.3688,17.8707,93.79
2026-08-15T13:41:37,1786826497.798,13.0600,1.3475,17.5984,93.79
2026-08-15T13:41:48,1786826508.298,13.0563,1.3688,17.8707,93.79
2026-08-15T13:41:58,1786826518.676,13.0575,1.3475,17.5950,93.79
2026-08-15T13:42:08,1786826528.904,13.0587,1.3263,17.3192,93.79
2026-08-15T13:42:19,1786826539.415,13.0375,1.6463,21.4630,93.79
2026-08-15T13:42:29,1786826549.613,13.0600,1.2988,16.9617,93.79
2026-08-15T13:42:39,1786826559.800,13.0512,1.3950,18.2065,93.79
2026-08-15T13:42:49,1786826569.997,13.0463,1.5325,19.9934,93.79
2026-08-15T13:43:00,1786826580.259,13.0575,1.3600,17.7582,93.79
2026-08-15T13:43:10,1786826590.621,13.0600,1.4075,18.3820,93.79
2026-08-15T13:43:20,1786826600.913,13.0575,1.3025,17.0074,93.79
2026-08-15T13:43:31,1786826611.230,13.0575,1.4175,18.5090,93.79
2026-08-15T13:43:41,1786826621.536,13.0613,1.2750,16.6531,93.79
2026-08-15T13:43:51,1786826631.799,13.0625,1.2600,16.4587,93.79
2026-08-15T13:44:02,1786826642.121,13.0587,1.3237,17.2865,93.79
2026-08-15T13:44:12,1786826652.380,13.0587,1.3950,18.2170,93.79
2026-08-15T13:44:22,1786826662.679,13.0512,1.3562,17.7008,93.79
2026-08-15T13:44:33,1786826673.079,13.0587,1.3538,17.6783,93.79
2026-08-15T13:44:43,1786826683.456,13.0563,1.3913,18.1645,93.79
2026-08-15T13:44:53,1786826693.770,13.0512,1.3450,17.5539,93.79
2026-08-15T13:45:04,1786826704.080,13.0625,1.3350,17.4384,93.79
2026-08-15T13:45:14,1786826714.274,13.0512,1.3975,18.2391,93.79
2026-08-15T13:45:24,1786826724.544,13.0600,1.4187,18.5289,93.79
2026-08-15T13:45:34,1786826734.871,13.0625,1.2700,16.5894,93.79
2026-08-15T13:45:45,1786826745.110,13.0563,1.3700,17.8871,93.79
2026-08-15T13:45:55,1786826755.302,13.0625,1.2563,16.4098,93.79
