time_s,mode,segment,robot_x,robot_y,robot_th_deg,n_obstacles,max_obs_speed,min_obstacle_dist,path_y,vx_cmd,vy_cmd,vy_rep,corrected_x,corrected_y,corrected_yaw_deg
0.05,apt_marker_maskon,PARKED,0.0,0.0,0.0,0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.104,apt_marker_maskon,PARKED,0.0,0.0,0.0,0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.231,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.689,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.43,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.501,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.613,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.741,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.802,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.901,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.03,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.101,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.201,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.345,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.402,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.502,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.601,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.702,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.801,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.901,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.001,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.101,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.242,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.301,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.446,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.505,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.601,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.702,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.839,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.901,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.037,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.788,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.103,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.731,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.201,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.301,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.402,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.52,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.602,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.701,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.817,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.901,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.032,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.141,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.24,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.313,apt_marker_maskon,PARKED,0.0,0.0,0.0,2,0.0,3.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
