time_s,mode,segment,robot_x,robot_y,robot_th_deg,n_obstacles,max_obs_speed,min_obstacle_dist,path_y,vx_cmd,vy_cmd,vy_rep,corrected_x,corrected_y,corrected_yaw_deg
0.077,apt_maskon,PARKED,0.0,0.0,0.0,0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.128,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.235,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.339,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.422,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.512,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.624,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.701,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.801,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.902,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.009,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.101,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.202,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.301,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.439,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.547,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.606,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.711,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.801,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.945,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.001,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.101,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.201,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.301,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.401,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.532,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.638,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.701,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.807,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.901,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.014,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.101,apt_maskon,PARKED,0.0,0.0,0.0,1,0.0,3.567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
