time_s,mode,segment,robot_x,robot_y,robot_th_deg,n_obstacles,max_obs_speed,min_obstacle_dist,path_y,vx_cmd,vy_cmd,vy_rep,corrected_x,corrected_y,corrected_yaw_deg
0.068,apt_walk,PARKED,0.0,0.0,0.0,0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,apt_walk,PARKED,0.0,0.0,0.0,0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.221,apt_walk,PARKED,0.0,0.0,0.0,2,0.0,3.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.302,apt_walk,PARKED,0.0,0.0,0.0,2,0.0,3.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.401,apt_walk,PARKED,0.0,0.0,0.0,2,0.0,3.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.501,apt_walk,PARKED,0.0,0.0,0.0,2,0.0,3.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.616,apt_walk,PARKED,0.0,0.0,0.0,3,0.0,3.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.701,apt_walk,PARKED,0.0,0.0,0.0,3,0.0,3.718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.801,apt_walk,PARKED,0.0,0.0,0.0,3,0.0,3.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.943,apt_walk,PARKED,0.0,0.0,0.0,3,0.0,3.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.001,apt_walk,PARKED,0.0,0.0,0.0,3,0.0,3.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.123,apt_walk,PARKED,0.0,0.0,0.0,3,0.0,3.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.201,apt_walk,PARKED,0.0,0.0,0.0,3,0.0,3.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.301,apt_walk,PARKED,0.0,0.0,0.0,3,0.0,3.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.401,apt_walk,PARKED,0.0,0.0,0.0,3,0.0,3.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.501,apt_walk,PARKED,0.0,0.0,0.0,3,0.0,3.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.623,apt_walk,PARKED,0.0,0.0,0.0,3,0.0,3.722,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.745,apt_walk,PARKED,0.0,0.0,0.0,3,0.0,3.747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.801,apt_walk,PARKED,0.0,0.0,0.0,3,0.0,3.747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.901,apt_walk,PARKED,0.0,0.0,0.0,3,0.0,3.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.009,apt_walk,PARKED,0.0,0.0,0.0,3,0.0,3.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.122,apt_walk,PARKED,0.0,0.0,0.0,3,0.0,3.774,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.214,apt_walk,PARKED,0.0,0.0,0.0,3,0.0,3.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.302,apt_walk,PARKED,0.0,0.0,0.0,3,0.0,3.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.411,apt_walk,PARKED,0.0,0.0,0.0,3,0.0,3.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.501,apt_walk,PARKED,0.0,0.0,0.0,3,0.0,3.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.601,apt_walk,PARKED,0.0,0.0,0.0,3,0.0,3.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
