time_s,mode,segment,robot_x,robot_y,robot_th_deg,n_obstacles,max_obs_speed,min_obstacle_dist,path_y,vx_cmd,vy_cmd,vy_rep,corrected_x,corrected_y,corrected_yaw_deg
0.156,apt_walk_2,PARKED,0.0,0.0,0.0,0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.257,apt_walk_2,PARKED,0.0,0.0,0.0,0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.357,apt_walk_2,PARKED,0.0,0.0,0.0,2,0.0,3.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.476,apt_walk_2,PARKED,0.0,0.0,0.0,2,0.0,3.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.557,apt_walk_2,PARKED,0.0,0.0,0.0,2,0.0,3.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.657,apt_walk_2,PARKED,0.0,0.0,0.0,2,0.0,3.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.796,apt_walk_2,PARKED,0.0,0.0,0.0,2,0.0,3.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.858,apt_walk_2,PARKED,0.0,0.0,0.0,2,0.0,3.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.997,apt_walk_2,PARKED,0.0,0.0,0.0,2,0.0,3.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.058,apt_walk_2,PARKED,0.0,0.0,0.0,2,0.0,3.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.156,apt_walk_2,PARKED,0.0,0.0,0.0,2,0.0,3.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.298,apt_walk_2,PARKED,0.0,0.0,0.0,2,0.0,3.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.357,apt_walk_2,PARKED,0.0,0.0,0.0,2,0.0,3.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.457,apt_walk_2,PARKED,0.0,0.0,0.0,2,0.0,3.713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.557,apt_walk_2,PARKED,0.0,0.0,0.0,2,0.0,3.713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.675,apt_walk_2,PARKED,0.0,0.0,0.0,2,0.0,3.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.806,apt_walk_2,PARKED,0.0,0.0,0.0,2,0.0,3.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.862,apt_walk_2,PARKED,0.0,0.0,0.0,2,0.0,3.731,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.957,apt_walk_2,PARKED,0.0,0.0,0.0,2,0.0,3.739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.066,apt_walk_2,PARKED,0.0,0.0,0.0,2,0.0,3.739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.195,apt_walk_2,PARKED,0.0,0.0,0.0,2,0.0,3.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.292,apt_walk_2,PARKED,0.0,0.0,0.0,2,0.0,3.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.357,apt_walk_2,PARKED,0.0,0.0,0.0,2,0.0,3.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.457,apt_walk_2,PARKED,0.0,0.0,0.0,2,0.0,3.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.557,apt_walk_2,PARKED,0.0,0.0,0.0,2,0.0,3.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.657,apt_walk_2,PARKED,0.0,0.0,0.0,2,0.0,3.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.757,apt_walk_2,PARKED,0.0,0.0,0.0,3,0.0,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.857,apt_walk_2,PARKED,0.0,0.0,0.0,3,0.0,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.957,apt_walk_2,PARKED,0.0,0.0,0.0,3,0.0,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.057,apt_walk_2,PARKED,0.0,0.0,0.0,3,0.0,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
