time_s,mode,segment,robot_x,robot_y,robot_th_deg,n_obstacles,max_obs_speed,min_obstacle_dist,path_y,vx_cmd,vy_cmd,vy_rep,corrected_x,corrected_y,corrected_yaw_deg
0.082,apt_walk_3_speckle,PARKED,0.0,0.0,0.0,0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.133,apt_walk_3_speckle,PARKED,0.0,0.0,0.0,0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.231,apt_walk_3_speckle,PARKED,0.0,0.0,0.0,3,0.0,3.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.301,apt_walk_3_speckle,PARKED,0.0,0.0,0.0,3,0.0,3.779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.431,apt_walk_3_speckle,PARKED,0.0,0.0,0.0,3,0.0,3.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.502,apt_walk_3_speckle,PARKED,0.0,0.0,0.0,3,0.0,3.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.643,apt_walk_3_speckle,PARKED,0.0,0.0,0.0,3,0.0,3.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.701,apt_walk_3_speckle,PARKED,0.0,0.0,0.0,3,0.0,3.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.801,apt_walk_3_speckle,PARKED,0.0,0.0,0.0,3,0.0,3.718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.925,apt_walk_3_speckle,PARKED,0.0,0.0,0.0,3,0.0,3.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.022,apt_walk_3_speckle,PARKED,0.0,0.0,0.0,3,0.0,3.682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.142,apt_walk_3_speckle,PARKED,0.0,0.0,0.0,3,0.0,3.682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.249,apt_walk_3_speckle,PARKED,0.0,0.0,0.0,3,0.0,3.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.317,apt_walk_3_speckle,PARKED,0.0,0.0,0.0,3,0.0,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
