time_s,mode,segment,robot_x,robot_y,robot_th_deg,n_obstacles,max_obs_speed,min_obstacle_dist,path_y,vx_cmd,vy_cmd,vy_rep,corrected_x,corrected_y,corrected_yaw_deg
0.092,apt_walk_4_features,PARKED,0.0,0.0,0.0,0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.144,apt_walk_4_features,PARKED,0.0,0.0,0.0,0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.201,apt_walk_4_features,PARKED,0.0,0.0,0.0,0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.335,apt_walk_4_features,PARKED,0.0,0.0,0.0,2,0.6137,3.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.401,apt_walk_4_features,PARKED,0.0,0.0,0.0,2,0.3487,3.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.502,apt_walk_4_features,PARKED,0.0,0.0,0.0,2,0.3487,3.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.601,apt_walk_4_features,PARKED,0.0,0.0,0.0,2,0.6031,3.737,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.743,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.5463,3.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.802,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.3525,3.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.903,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.3525,3.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.001,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.5578,3.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.101,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.5578,3.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.202,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.5578,3.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.302,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.7572,3.614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.401,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.4773,3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.545,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.4773,3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.633,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.4773,3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.701,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.4589,3.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.825,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.4279,3.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.922,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.4279,3.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.035,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.4279,3.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.116,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.4279,3.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.201,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.574,3.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.301,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.574,3.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.574,3.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.501,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.574,3.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.621,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.4676,3.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.74,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.4368,3.578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.4368,3.578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.923,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.4368,3.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.023,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.4368,3.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.15,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.6874,3.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.201,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.6874,3.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.301,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.6874,3.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.401,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.6874,3.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.501,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.6874,3.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.601,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.6874,3.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.701,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,1.0046,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.828,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.8171,2.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.934,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.8171,2.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.049,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.5846,2.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.108,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.4502,1.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.201,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.4502,1.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.302,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.4502,1.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.401,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.4502,1.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.515,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.4387,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.627,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.3774,1.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.701,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.1996,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.801,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.1996,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.928,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.3013,1.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.001,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.503,1.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.101,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.503,1.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.201,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.5839,1.887,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.301,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.5839,1.887,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.401,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,1.0475,2.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.509,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.7654,2.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.601,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.7654,2.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.702,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.5504,2.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.801,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.5504,2.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.901,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.543,2.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.014,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.543,2.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.102,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.8504,2.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.202,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.8504,2.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.301,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.8504,2.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.401,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.8504,2.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.527,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,1.2264,3.337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.613,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,1.2264,3.337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.701,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,1.2264,3.337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.811,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.6766,3.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.929,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.4368,3.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.4368,3.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.102,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.2949,3.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.25,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.2949,3.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.306,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.2812,3.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.411,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.5785,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.501,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.5785,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.643,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.8777,3.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.707,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.8777,3.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.83,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,1.4696,3.644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.901,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,1.6134,3.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.001,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,1.2108,3.689,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.101,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.8301,3.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.222,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.7038,3.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.301,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.8571,3.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.401,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.8571,3.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.501,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.8571,3.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.601,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.8571,3.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.714,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,1.1171,3.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.832,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.8259,3.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.926,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.8259,3.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.018,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.8259,3.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.146,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,1.2966,3.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.21,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,1.2966,3.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.329,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,1.2966,3.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.434,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,1.2966,2.987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.536,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,1.2966,2.987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.633,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,1.2966,2.987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.711,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,1.2966,2.987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.827,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,1.2662,2.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.902,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.9591,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.001,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.9591,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.101,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.9591,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.217,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.6902,2.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.334,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.9866,2.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.402,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.9866,2.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.501,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.9866,2.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.601,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.9866,2.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.745,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.809,1.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.806,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.6118,1.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.902,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.6118,1.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.001,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.4349,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.101,apt_walk_4_features,PARKED,0.0,0.0,0.0,4,0.4349,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.218,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.2509,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.332,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.5044,1.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.401,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.5044,1.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.501,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.5044,1.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.601,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.5044,1.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.724,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.6898,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.801,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.8949,1.897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.951,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.8949,1.897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.03,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.8949,1.897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.15,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.9207,2.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.212,apt_walk_4_features,PARKED,0.0,0.0,0.0,3,0.6124,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
