time_s,mode,segment,robot_x,robot_y,robot_th_deg,n_obstacles,max_obs_speed,min_obstacle_dist,path_y,vx_cmd,vy_cmd,vy_rep,corrected_x,corrected_y,corrected_yaw_deg
0.302,item8_regress,PARKED,0.0,0.0,0.0,0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.404,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.504,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.605,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.703,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.817,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.903,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.006,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.104,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.731,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.203,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.731,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.303,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.426,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.515,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.632,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.703,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.824,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.903,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.004,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.103,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.653,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.204,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.304,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.439,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.503,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.604,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.703,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.819,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.903,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.803,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.016,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.148,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.203,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.305,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.404,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.505,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.603,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.704,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.803,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.915,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.004,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.104,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.687,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.214,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.32,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.403,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.503,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.624,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.704,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.803,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.904,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.004,item8_regress,PARKED,0.0,0.0,0.0,2,0.0,3.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
