time_s,mode,segment,robot_x,robot_y,robot_th_deg,n_obstacles,max_obs_speed,min_obstacle_dist,path_y,vx_cmd,vy_cmd,vy_rep,corrected_x,corrected_y,corrected_yaw_deg
0.068,item8_speckle,PARKED,0.0,0.0,0.0,0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.119,item8_speckle,PARKED,0.0,0.0,0.0,0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.201,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.302,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.402,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.501,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.601,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.701,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.827,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.901,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.001,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.654,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.122,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.214,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.332,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.401,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.501,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.601,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.711,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.705,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.815,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.939,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.001,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.101,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.202,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.328,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.401,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.501,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.601,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.702,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.818,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.901,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.001,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.102,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.237,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.653,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.316,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.653,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.417,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.501,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.644,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.724,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.802,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.901,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.023,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.146,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.202,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.301,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.401,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.501,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.629,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.601,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.629,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.716,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.801,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.901,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.024,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.101,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.201,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.313,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.401,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.711,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.546,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.601,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.703,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.844,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.905,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.002,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.124,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.229,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.639,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.347,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.426,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.531,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.602,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.629,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.701,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.629,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.801,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.629,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.901,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.018,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.136,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.201,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.319,item8_speckle,PARKED,0.0,0.0,0.0,2,0.0,3.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0
