time_s,mode,segment,robot_x,robot_y,robot_th_deg,n_obstacles,max_obs_speed,min_obstacle_dist,path_y,vx_cmd,vy_cmd,vy_rep,corrected_x,corrected_y,corrected_yaw_deg
0.064,lab_v1_control,PARKED,0.0,0.0,0.0,0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.142,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0191,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.202,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0703,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.301,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0703,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.436,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0703,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.501,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0703,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.601,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0703,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.718,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.832,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.079,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.902,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.079,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.001,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0707,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.119,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.245,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0812,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.308,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0812,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.401,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0812,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.502,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0453,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.601,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.701,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.817,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.935,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.127,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.202,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0631,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.301,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0614,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.405,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0614,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.521,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0614,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.602,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.094,0.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.75,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0914,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.801,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0914,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.907,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.002,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.101,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.221,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.343,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.407,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.1272,0.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.524,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.1272,0.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.626,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.1089,0.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.702,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.1089,0.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.801,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.1089,0.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.901,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.1089,0.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.009,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.098,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.104,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.098,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.227,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.126,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.301,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0063,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.401,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0063,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.501,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0063,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.625,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0404,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.702,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0404,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.801,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0404,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.901,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0404,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.001,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0316,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.101,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0316,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.25,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.1268,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.307,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0685,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.401,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0437,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.502,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0437,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.601,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.724,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.11,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.801,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.11,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.917,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.1093,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.051,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.1093,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.102,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.1093,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.247,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.058,0.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.318,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.058,0.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.402,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.1027,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.501,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.1027,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.614,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0139,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.703,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0139,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.801,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0139,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.901,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0139,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.004,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0139,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.101,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0139,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.201,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0139,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.301,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0139,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.418,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0541,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.533,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0924,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.601,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0114,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.701,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0114,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.801,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.1123,0.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.901,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.1123,0.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.032,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0072,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.101,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.201,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.301,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.403,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.541,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.602,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.736,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.845,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.901,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.042,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.1011,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.101,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.1011,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.202,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.1011,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.302,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.1011,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.438,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.501,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.633,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.702,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.801,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.931,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.091,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.001,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.091,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.101,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0054,0.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.201,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0054,0.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.301,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.401,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.501,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.624,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0543,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.741,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.0411,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.801,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.03,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.901,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.03,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.043,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.03,0.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.112,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.03,0.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.201,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.03,0.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.301,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.3257,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.401,lab_v1_control,PARKED,0.0,0.0,0.0,4,0.3257,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
