t,n_obstacles,max_obs_speed,min_obstacle_dist
0.074,2,0.0,2.199
0.128,2,0.0,2.199
0.289,2,0.0,2.196
0.382,2,0.0,2.196
0.467,2,0.0,2.196
0.525,2,0.0,2.198
0.633,2,0.0,2.181
1.141,2,0.0,2.184
1.25,2,0.0,2.18
1.356,2,0.0,2.206
1.554,2,0.0,2.212
1.67,2,0.0,2.196
1.834,2,0.0,2.184
2.049,2,0.0,2.186
2.167,2,0.0,2.189
2.292,2,0.0,2.19
2.364,2,0.0,2.198
2.463,2,0.0,2.187
2.587,2,0.0,2.205
2.834,2,0.0,2.192
3.108,3,0.0,2.189
3.23,3,0.0,2.208
3.361,3,0.0,2.208
3.44,3,0.0,2.208
3.536,3,0.0,2.193
3.65,3,0.0,2.205
3.823,3,0.0,2.195
3.989,3,0.0,2.195
4.365,3,0.0,2.2
4.478,3,0.0,2.206
4.591,3,0.0,2.198
4.712,3,0.0,2.198
4.799,3,0.0,2.198
4.884,3,0.0,2.198
4.994,2,0.0,2.2
5.409,2,0.0,2.193
5.579,2,0.0,2.204
5.68,2,0.0,2.204
5.797,2,0.0,2.193
5.858,2,0.0,2.213
5.916,2,0.0,2.193
6.024,2,0.0,2.193
6.265,2,0.0,2.196
6.382,2,0.0,2.176
6.605,2,0.0,2.191
6.754,2,0.0,2.199
6.814,2,0.0,2.199
6.941,2,0.0,2.215
7.128,2,0.0,2.215
7.363,2,0.0,2.192
7.536,2,0.0,2.195
7.67,2,0.0,2.195
7.82,2,0.0,2.207
7.874,2,0.0,2.207
7.972,2,0.0,2.207
8.072,2,0.0,2.207
8.214,2,0.0,2.186
8.348,2,0.0,2.193
8.466,2,0.0,2.198
8.614,2,0.0,2.198
8.728,2,0.0,2.18
8.918,2,0.0,2.2
9.066,2,0.0,2.2
9.131,2,0.0,2.197
9.246,2,0.0,2.199
9.586,2,0.0,2.172
9.704,2,0.0,2.2
9.82,2,0.0,2.2
9.973,2,0.0,2.2
10.032,2,0.0,2.212
10.092,2,0.0,2.212
10.381,2,0.0,2.222
10.591,2,0.0,2.199
10.796,2,0.0,2.212
10.946,2,0.0,2.206
11.002,2,0.0,2.214
11.166,2,0.0,2.214
11.268,2,0.0,2.214
11.359,2,0.0,2.214
11.42,2,0.0,2.208
11.527,2,0.0,2.22
11.651,2,0.0,2.22
11.84,2,0.0,2.22
11.95,2,0.0,2.192
12.251,2,0.0,2.179
12.374,2,0.0,2.198
12.784,2,0.0,2.181
12.894,2,0.0,2.17
13.022,2,0.0,2.17
13.204,2,0.0,2.183
13.314,2,0.0,2.208
13.555,2,0.0,2.202
13.77,2,0.0,2.199
14.035,2,0.0,2.207
14.147,2,0.0,2.197
14.337,2,0.0,2.19
14.467,2,0.0,2.179
14.576,2,0.0,2.201
14.971,2,0.0,2.183
15.085,2,0.0,2.192
15.245,2,0.0,2.191
15.374,2,0.0,2.21
15.493,2,0.0,2.205
15.963,2,0.0,2.206
16.114,2,0.0,2.179
16.179,2,0.0,2.192
16.278,2,0.0,2.192
16.405,2,0.0,2.206
16.574,2,0.0,2.205
16.85,2,0.0,2.224
17.059,2,0.0,2.224
17.207,2,0.0,2.216
17.264,2,0.0,2.206
17.481,2,0.0,2.219
17.602,2,0.0,2.219
17.718,2,0.0,2.208
18.044,2,0.0,2.207
18.16,2,0.0,2.22
18.337,2,0.0,2.213
18.406,2,0.0,2.188
18.505,2,0.0,2.188
18.563,2,0.0,2.2
18.682,2,0.0,2.208
19.001,3,0.0,2.206
19.138,3,0.0,2.199
19.251,2,0.0,2.184
19.329,2,0.0,2.184
19.442,2,0.0,2.199
19.535,2,0.0,2.199
19.688,2,0.0,2.189
19.748,2,0.0,2.199
19.859,2,0.0,2.199
19.986,2,0.0,2.19
20.077,2,0.0,2.19
20.159,2,0.0,2.188
20.214,2,0.0,2.201
20.331,2,0.0,2.174
20.523,2,0.0,2.174
20.658,2,0.0,2.184
21.036,2,0.0,2.188
21.205,2,0.0,2.197
21.267,2,0.0,2.19
21.378,2,0.0,2.203
