t,n_obstacles,max_obs_speed,min_obstacle_dist
0.128,3,0.4083,0.744
0.311,3,0.023,0.76
0.372,3,0.3483,0.721
0.431,3,0.04,0.713
0.577,3,0.0585,0.707
0.635,3,0.1096,0.712
0.792,3,0.3415,0.742
1.02,3,0.2401,0.706
1.217,3,0.0,0.704
1.275,3,0.0548,0.713
1.331,3,0.0548,0.713
1.465,3,0.05,0.706
1.524,3,0.05,0.706
1.646,3,0.0734,0.707
1.756,3,0.0,0.704
2.126,3,0.0,0.712
2.243,3,0.0716,0.705
2.369,3,0.0538,0.704
2.45,3,0.0724,0.71
2.543,3,0.0412,0.706
2.66,3,0.0,0.707
2.785,3,0.0,0.706
2.847,3,0.0,0.706
3.083,3,0.1592,0.716
3.196,3,0.0587,0.706
3.345,3,0.0,0.704
3.441,3,0.0,0.704
3.5,3,0.0,0.703
3.612,3,0.0,0.704
3.711,3,0.0,0.704
3.813,3,0.0,0.708
3.907,3,0.0,0.705
4.081,3,0.0,0.705
4.185,3,0.0,0.705
4.34,3,0.0,0.713
4.408,3,0.0,0.707
4.521,3,0.0,0.711
4.625,3,0.0,0.712
4.686,3,0.0,0.714
4.864,3,0.1534,0.747
4.921,3,0.1534,0.747
5.14,3,0.0114,0.716
5.316,3,0.0579,0.707
5.374,3,0.0444,0.706
5.537,3,0.0,0.704
5.646,3,0.0,0.703
5.811,3,0.0,0.703
5.866,3,0.0,0.703
6.046,3,0.0,0.706
6.269,3,0.0,0.708
6.481,3,0.0,0.712
6.63,3,0.2418,0.754
6.692,3,0.4557,0.73
6.867,3,0.083,0.712
6.96,3,0.2884,0.748
7.026,3,0.1378,0.724
7.253,3,0.0322,0.707
7.369,3,0.0489,0.705
7.561,3,0.0,0.709
7.697,3,0.0,0.713
7.811,3,0.0,0.711
7.877,3,0.0,0.705
7.987,3,0.0,0.707
8.127,3,0.0,0.707
8.331,3,0.2147,0.717
8.445,3,0.0,0.713
8.538,3,0.0,0.713
8.671,3,0.0,0.719
8.785,3,0.0881,0.709
8.847,3,0.0881,0.709
9.014,3,0.0,0.705
9.105,3,0.0,0.704
9.164,3,0.0,0.705
9.33,3,0.0762,0.706
9.391,3,0.0762,0.706
9.448,4,0.264,0.741
9.638,4,0.1682,0.715
9.787,3,0.0,0.712
9.847,3,0.0,0.707
9.964,3,0.098,0.714
10.103,3,0.098,0.714
10.169,3,0.0331,0.713
10.344,3,0.1572,0.745
10.495,3,0.2697,0.716
10.605,3,0.1572,0.715
10.746,3,0.0136,0.714
10.864,3,0.0319,0.704
10.984,3,0.0319,0.704
11.124,3,0.0,0.703
11.182,3,0.0,0.706
11.381,3,0.0,0.704
11.608,3,0.0,0.708
11.709,3,0.0,0.709
11.83,3,0.0,0.709
12.027,3,0.0,0.705
12.165,3,0.0,0.704
12.433,3,0.0,0.704
12.622,3,0.0,0.704
12.681,3,0.0,0.703
12.739,3,0.0,0.703
12.879,3,0.0,0.704
12.974,4,0.0,0.703
13.073,4,0.0,0.704
13.139,4,0.0707,0.711
13.597,5,0.0,0.706
13.771,4,0.255,0.744
13.886,4,0.1965,0.728
13.987,4,0.1575,0.711
14.044,4,0.3256,0.744
14.113,3,0.14,0.716
14.276,3,0.14,0.716
14.522,3,0.0,0.707
14.671,3,0.0,0.706
14.774,3,0.0,0.706
14.889,3,0.0,0.707
14.979,3,0.0,0.707
15.044,3,0.0,0.707
15.156,3,0.0,0.707
15.332,3,0.0,0.707
15.543,3,0.0,0.705
15.658,3,0.0,0.704
15.75,3,0.0,0.704
15.901,3,0.0,0.706
15.959,3,0.0,0.711
16.082,3,0.0,0.706
16.212,3,0.0,0.706
16.333,3,0.0,0.706
16.43,3,0.0,0.705
16.61,3,0.0,0.709
16.762,3,0.0,0.711
16.823,3,0.0,0.713
16.95,3,0.0607,0.706
17.052,3,0.0607,0.706
17.219,3,0.0,0.705
17.344,3,0.0,0.705
17.519,3,0.0,0.704
17.712,3,0.0,0.702
17.769,3,0.0,0.702
17.823,3,0.0,0.702
17.962,3,0.2049,0.743
18.064,3,0.2049,0.743
18.15,3,0.2049,0.743
18.264,3,0.1345,0.707
18.32,3,0.0,0.704
18.431,3,0.0,0.704
18.536,3,0.0,0.704
18.772,3,0.0,0.706
18.923,3,0.0,0.708
19.049,3,0.0,0.708
19.106,3,0.0,0.706
19.221,3,0.0,0.706
19.343,3,0.0,0.706
19.455,3,0.0,0.708
19.542,3,0.0,0.708
19.96,3,0.1842,0.747
20.082,3,0.1694,0.745
20.249,3,0.5604,0.716
