time_s,mode,segment,robot_x,robot_y,robot_th_deg,n_obstacles,max_obs_speed
0.276,predictive,drive_to_B,0.0,-0.0,0.0,0,0.0
0.376,predictive,drive_to_B,0.0182,0.0,0.0,1,0.005
0.526,predictive,drive_to_B,0.0462,0.0,0.0,1,0.004
0.676,predictive,drive_to_B,0.0742,0.0,0.0,1,0.004
0.776,predictive,drive_to_B,0.0942,0.0,0.0,1,0.005
0.926,predictive,drive_to_B,0.1222,0.0,0.0,1,0.005
1.076,predictive,drive_to_B,0.1542,0.0,0.0,1,0.005
1.176,predictive,drive_to_B,0.1742,0.0,0.0,1,0.005
1.276,predictive,drive_to_B,0.1902,0.0,0.0,1,0.005
1.376,predictive,drive_to_B,0.2102,0.0,0.0,1,0.005
1.476,predictive,drive_to_B,0.2302,0.0,0.0,1,0.005
1.576,predictive,drive_to_B,0.2502,0.0,0.0,1,0.005
1.726,predictive,drive_to_B,0.2782,0.0,0.0,1,0.005
1.827,predictive,drive_to_B,0.2982,0.0,0.0,1,0.005
1.976,predictive,drive_to_B,0.3262,0.0,0.0,1,0.005
2.077,predictive,drive_to_B,0.3462,0.0,0.0,1,0.005
2.226,predictive,drive_to_B,0.3782,0.0,0.0,1,0.005
2.376,predictive,drive_to_B,0.4062,0.0,0.0,1,0.005
2.526,predictive,drive_to_B,0.4342,0.0,0.0,1,0.005
2.676,predictive,drive_to_B,0.4622,0.0,0.0,1,0.005
2.777,predictive,drive_to_B,0.4822,0.0,0.0,1,0.005
2.926,predictive,drive_to_B,0.5102,0.0,0.0,1,0.005
3.026,predictive,drive_to_B,0.5302,0.0,0.0,1,0.005
3.177,predictive,drive_to_B,0.5622,0.0,0.0,1,0.005
3.326,predictive,drive_to_B,0.5902,0.0,0.0,1,0.005
3.427,predictive,drive_to_B,0.6102,0.0,0.0,1,0.005
3.576,predictive,drive_to_B,0.6382,0.0,0.0,1,0.005
3.726,predictive,drive_to_B,0.6662,0.0,0.0,1,0.005
3.826,predictive,drive_to_B,0.6862,0.0,0.0,1,0.005
3.976,predictive,drive_to_B,0.7142,0.0,0.0,1,0.005
4.077,predictive,drive_to_B,0.7342,0.0,0.0,1,0.005
4.227,predictive,drive_to_B,0.7662,0.0,0.0,1,0.005
4.377,predictive,drive_to_B,0.7896,0.0,0.02,1,0.005
4.526,predictive,drive_to_B,0.8086,0.0,0.03,1,0.005
4.626,predictive,drive_to_B,0.8239,0.0001,0.03,1,0.012
4.727,predictive,drive_to_B,0.8353,0.0001,0.04,1,0.005
4.876,predictive,drive_to_B,0.858,0.0001,0.04,1,0.005
4.977,predictive,drive_to_B,0.8695,0.0001,0.04,1,0.005
5.127,predictive,drive_to_B,0.8923,0.0001,0.05,1,0.005
5.277,predictive,drive_to_B,0.9075,0.0001,0.05,1,0.005
5.426,predictive,drive_to_B,0.9265,0.0001,0.06,1,0.005
5.577,predictive,drive_to_B,0.9455,0.0001,0.06,1,0.005
5.726,predictive,drive_to_B,0.9645,0.0002,0.07,1,0.004
5.826,predictive,drive_to_B,0.976,0.0002,0.07,1,0.005
5.976,predictive,drive_to_B,0.9912,0.0002,0.07,1,0.005
6.126,predictive,drive_to_B,1.0102,0.0002,0.07,1,0.005
6.276,predictive,drive_to_B,1.0292,0.0002,0.08,1,0.004
6.426,predictive,drive_to_B,1.052,0.0002,0.08,1,0.005
6.576,predictive,drive_to_B,1.0747,0.0002,0.09,1,0.005
6.676,predictive,drive_to_B,1.0899,0.0002,0.09,1,0.004
6.826,predictive,drive_to_B,1.1128,0.0002,0.09,1,0.005
