time_s,mode,segment,robot_x,robot_y,robot_th_deg,n_obstacles,max_obs_speed
0.278,reactive,drive_to_B,0.0,0.0,-0.0,0,0.0
0.428,reactive,drive_to_B,0.027,0.0,-0.0,1,0.005
0.528,reactive,drive_to_B,0.047,0.0,-0.0,1,0.005
0.678,reactive,drive_to_B,0.075,0.0,-0.0,1,0.005
0.828,reactive,drive_to_B,0.107,0.0,-0.0,1,0.005
0.928,reactive,drive_to_B,0.123,0.0,-0.0,1,0.005
1.028,reactive,drive_to_B,0.143,0.0,-0.0,1,0.005
1.178,reactive,drive_to_B,0.175,0.0,-0.0,1,0.005
1.328,reactive,drive_to_B,0.203,0.0,-0.0,1,0.005
1.478,reactive,drive_to_B,0.231,0.0,-0.0,1,0.005
1.628,reactive,drive_to_B,0.263,0.0,-0.0,1,0.005
1.778,reactive,drive_to_B,0.291,0.0,-0.0,1,0.005
1.928,reactive,drive_to_B,0.319,0.0,-0.0,1,0.005
2.028,reactive,drive_to_B,0.339,0.0,-0.0,1,0.005
2.178,reactive,drive_to_B,0.367,0.0,-0.0,1,0.005
2.329,reactive,drive_to_B,0.399,0.0,-0.0,1,0.005
2.478,reactive,drive_to_B,0.4222,0.0,0.02,1,0.005
2.579,reactive,drive_to_B,0.4375,0.0,0.03,1,0.005
2.728,reactive,drive_to_B,0.4565,0.0001,0.03,1,0.005
2.828,reactive,drive_to_B,0.4679,0.0001,0.04,1,0.005
2.978,reactive,drive_to_B,0.4908,0.0001,0.05,1,0.005
3.078,reactive,drive_to_B,0.5022,0.0001,0.05,1,0.005
3.229,reactive,drive_to_B,0.5212,0.0001,0.06,1,0.005
3.378,reactive,drive_to_B,0.5402,0.0001,0.05,1,0.005
3.528,reactive,drive_to_B,0.5592,0.0001,0.06,1,0.005
3.628,reactive,drive_to_B,0.5744,0.0001,0.06,1,0.005
3.778,reactive,drive_to_B,0.5972,0.0001,0.07,1,0.005
3.928,reactive,drive_to_B,0.6123,0.0001,0.07,1,0.005
4.078,reactive,drive_to_B,0.6313,0.0002,0.08,1,0.005
4.178,reactive,drive_to_B,0.6427,0.0002,0.08,1,0.005
4.328,reactive,drive_to_B,0.6617,0.0002,0.09,1,0.005
4.428,reactive,drive_to_B,0.6731,0.0002,0.09,1,0.005
4.578,reactive,drive_to_B,0.692,0.0002,0.1,1,0.005
4.728,reactive,drive_to_B,0.7073,0.0002,0.1,1,0.005
4.828,reactive,drive_to_B,0.7187,0.0002,0.11,1,0.005
4.978,reactive,drive_to_B,0.7376,0.0003,0.11,1,0.005
5.078,reactive,drive_to_B,0.749,0.0003,0.12,1,0.005
5.228,reactive,drive_to_B,0.7718,0.0003,0.12,1,0.005
5.328,reactive,drive_to_B,0.7907,0.0003,0.12,1,0.005
5.428,reactive,drive_to_B,0.8021,0.0003,0.13,1,0.005
5.578,reactive,drive_to_B,0.8249,0.0003,0.13,1,0.005
5.728,reactive,drive_to_B,0.8401,0.0003,0.13,1,0.005
5.828,reactive,drive_to_B,0.8515,0.0004,0.14,1,0.005
5.978,reactive,drive_to_B,0.8743,0.0004,0.14,1,0.005
6.078,reactive,drive_to_B,0.8895,0.0004,0.15,1,0.005
6.178,reactive,drive_to_B,0.9009,0.0004,0.15,1,0.005
6.328,reactive,drive_to_B,0.9236,0.0004,0.15,1,0.005
6.428,reactive,drive_to_B,0.9388,0.0004,0.16,1,0.005
6.578,reactive,drive_to_B,0.9616,0.0005,0.16,1,0.005
6.678,reactive,drive_to_B,0.973,0.0005,0.16,1,0.005
