time_s,mode,segment,robot_x,robot_y,robot_th_deg,n_obstacles,max_obs_speed,min_obstacle_dist,path_y,vx_cmd,vy_cmd,vy_rep,corrected_x,corrected_y,corrected_yaw_deg
0.137,split_gate_check,PARKED,0.0,0.0,0.0,0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.239,split_gate_check,PARKED,0.0,0.0,0.0,2,0.111,2.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.344,split_gate_check,PARKED,0.0,0.0,0.0,2,0.0398,2.934,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.456,split_gate_check,PARKED,0.0,0.0,0.0,2,0.061,2.918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.553,split_gate_check,PARKED,0.0,0.0,0.0,2,0.061,2.918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.654,split_gate_check,PARKED,0.0,0.0,0.0,2,0.0611,2.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.761,split_gate_check,PARKED,0.0,0.0,0.0,2,0.0184,2.944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.878,split_gate_check,PARKED,0.0,0.0,0.0,2,0.1123,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.939,split_gate_check,PARKED,0.0,0.0,0.0,2,0.1123,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.05,split_gate_check,PARKED,0.0,0.0,0.0,2,0.0294,2.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.151,split_gate_check,PARKED,0.0,0.0,0.0,2,0.0294,2.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.255,split_gate_check,PARKED,0.0,0.0,0.0,2,0.0108,2.932,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.372,split_gate_check,PARKED,0.0,0.0,0.0,2,0.0483,2.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.437,split_gate_check,PARKED,0.0,0.0,0.0,2,0.0501,2.921,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.555,split_gate_check,PARKED,0.0,0.0,0.0,2,0.0501,2.921,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.653,split_gate_check,PARKED,0.0,0.0,0.0,2,0.0136,2.923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.787,split_gate_check,PARKED,0.0,0.0,0.0,2,0.0509,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
