time_s,mode,segment,robot_x,robot_y,robot_th_deg,n_obstacles,max_obs_speed,min_obstacle_dist,path_y,vx_cmd,vy_cmd,vy_rep,corrected_x,corrected_y,corrected_yaw_deg
0.218,v3_deploy_check,PARKED,0.0,0.0,0.0,0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.345,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0253,0.729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.464,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0076,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0581,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.619,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0581,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.72,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.013,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.861,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.92,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.019,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.162,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.22,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.319,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.447,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0124,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.568,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.628,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.056,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.719,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0151,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.842,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0151,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.958,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.043,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.034,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.018,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.119,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.018,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.219,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.018,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.319,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.018,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.445,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.028,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.567,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0392,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.621,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0392,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.721,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0103,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.82,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0103,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.94,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0045,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.066,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.12,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.22,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.319,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.437,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.52,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.626,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0546,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.72,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0546,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.839,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0064,0.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.965,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.033,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0694,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.119,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0694,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.219,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0694,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.319,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0694,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.419,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0694,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.529,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.02,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.652,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0262,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.719,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0262,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.819,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0262,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.928,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0262,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.048,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0316,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.12,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.22,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.319,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.419,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.519,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.019,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.635,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.757,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.82,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0623,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.929,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0623,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.023,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.009,0.722,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.119,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0431,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.224,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0306,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.32,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0306,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.42,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0306,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.541,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.619,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.719,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.82,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0481,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.954,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0184,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.028,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0184,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.12,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0708,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.22,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0708,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.319,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0022,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.42,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0022,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.52,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0022,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.637,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.73,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.862,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.921,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.02,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.119,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0446,0.722,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.231,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0713,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.336,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0713,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.463,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0488,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.519,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0488,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.64,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0143,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.72,v3_deploy_check,PARKED,0.0,0.0,0.0,4,0.0143,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
