epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,170.422,1.31285,4.08869,1.27666,0.51525,0.22387,0.21873,0.15058,1.27547,2.41718,1.23353,0.00596757,0.00198919,0.00596757,0.00198919,0.00596757,0.00198919,0.00596757,0.00198919
2,338.121,1.39971,2.56499,1.3303,0.52625,0.36906,0.36243,0.23407,1.31727,1.76491,1.27461,0.0118491,0.0039497,0.0118491,0.0039497,0.0118491,0.0039497,0.0118491,0.0039497
3,505.394,1.41346,2.27672,1.35325,0.51979,0.36453,0.36723,0.23404,1.36204,1.73239,1.304,0.0176118,0.0058706,0.0176118,0.0058706,0.0176118,0.0058706,0.0176118,0.0058706
4,672.468,1.44803,2.24111,1.36969,0.47577,0.37272,0.36131,0.22588,1.4153,1.76063,1.35638,0.0232557,0.00775191,0.0232557,0.00775191,0.0232557,0.00775191,0.0232557,0.00775191
5,840.876,1.49075,2.26228,1.40614,0.4162,0.35043,0.32463,0.19442,1.48366,2.08259,1.4497,0.0287809,0.00959362,0.0287809,0.00959362,0.0287809,0.00959362,0.0287809,0.00959362
6,1008.59,1.49855,2.21955,1.41994,0.48135,0.35869,0.35568,0.2203,1.41701,1.78928,1.39155,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1177.97,1.46695,2.11415,1.39984,0.50834,0.37276,0.3775,0.23597,1.40601,1.68125,1.36075,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1347.85,1.44172,2.02624,1.38324,0.50279,0.37155,0.38251,0.24169,1.37854,1.62958,1.33802,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1516.31,1.42327,1.97257,1.37321,0.48492,0.39439,0.39261,0.25002,1.37684,1.6148,1.33776,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1685.09,1.41457,1.9395,1.36788,0.54111,0.38698,0.39734,0.25635,1.35029,1.61074,1.33216,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1853.25,1.40486,1.90636,1.3608,0.53933,0.38934,0.40372,0.2605,1.35989,1.57434,1.32698,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2021.19,1.39448,1.88958,1.3539,0.54026,0.39476,0.40854,0.26629,1.33374,1.53527,1.30768,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2189.26,1.39299,1.86444,1.35125,0.55855,0.3917,0.41643,0.27224,1.33375,1.52482,1.29861,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2357.13,1.38185,1.84473,1.33939,0.54779,0.39594,0.41654,0.27064,1.32172,1.51447,1.2958,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2524.3,1.37554,1.82646,1.338,0.55182,0.39848,0.41678,0.27433,1.31655,1.51475,1.29792,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2691.62,1.36602,1.81149,1.33602,0.56387,0.39941,0.42606,0.2809,1.31214,1.48739,1.28925,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2857.83,1.35932,1.80681,1.33005,0.55249,0.40126,0.42261,0.27859,1.30996,1.48428,1.28279,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3024.23,1.36135,1.80381,1.3299,0.53,0.41078,0.42564,0.28126,1.30006,1.4784,1.27549,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3190.65,1.35083,1.78703,1.32207,0.55843,0.41084,0.43061,0.28455,1.29421,1.46301,1.26694,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3356.97,1.35404,1.78168,1.32438,0.54631,0.41619,0.43384,0.2893,1.29703,1.45518,1.27355,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3522.39,1.34905,1.77836,1.32141,0.54766,0.4169,0.43309,0.28571,1.29039,1.45589,1.28001,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
