epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,463.141,1.20673,3.11127,1.2264,0.47211,0.22581,0.21776,0.13622,1.45303,2.31235,1.35763,0.00994595,0.00331532,0.00994595,0.00331532,0.00994595,0.00331532,0.00994595,0.00331532
2,624.181,1.39576,2.36929,1.35563,0.32577,0.04758,0.0265,0.01435,1.93895,3.83281,1.932,0.0198143,0.00660477,0.0198143,0.00660477,0.0198143,0.00660477,0.0198143,0.00660477
3,793.255,1.64707,2.84232,1.55583,0.21295,0.04409,0.00768,0.00365,2.2419,inf,2.41979,0.0295507,0.00985022,0.0295507,0.00985022,0.0295507,0.00985022,0.0295507,0.00985022
4,957.125,1.78712,3.10034,1.68974,0.22747,0.06643,0.02149,0.0122,2.07722,4.42686,2.06002,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1118.83,1.71455,2.84432,1.64447,0.36692,0.09388,0.06521,0.03487,1.84369,3.03699,1.79204,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1279.55,1.65353,2.66483,1.60618,0.33625,0.11253,0.07459,0.04171,1.80526,3.28838,1.72617,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1442.2,1.6073,2.52074,1.57271,0.22344,0.14683,0.09361,0.0537,1.7201,2.90565,1.68025,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1604.28,1.58127,2.43897,1.54738,0.29976,0.13718,0.1103,0.06338,1.6945,2.69084,1.64364,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1764.9,1.55165,2.35335,1.52096,0.31977,0.15406,0.13412,0.07918,1.65845,2.64804,1.57997,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1925.83,1.53135,2.27037,1.50377,0.30532,0.16587,0.1458,0.08547,1.66306,2.61923,1.60443,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,2086.18,1.50597,2.2131,1.48793,0.3001,0.1713,0.14455,0.08759,1.6373,2.61403,1.59425,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,2247.06,1.4936,2.15356,1.47162,0.3276,0.1863,0.15864,0.09593,1.60767,2.50761,1.56323,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,2408.27,1.47198,2.11743,1.45775,0.34429,0.20424,0.18118,0.11162,1.5608,2.41554,1.52125,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,2568.61,1.46201,2.07688,1.44635,0.31869,0.2047,0.18319,0.11319,1.54749,2.32869,1.49978,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,2729.1,1.45099,2.03977,1.43517,0.33442,0.20056,0.17695,0.10956,1.57329,2.46066,1.5344,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,2889.41,1.43569,2.00265,1.42421,0.33896,0.21839,0.19483,0.1199,1.54538,2.26284,1.50903,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,3049.92,1.43305,1.97006,1.41545,0.36327,0.22396,0.20693,0.12642,1.52162,2.22268,1.48052,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,3209.69,1.41343,1.93358,1.40674,0.36553,0.2303,0.21423,0.13234,1.50952,2.20813,1.46736,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,3369.56,1.40845,1.90446,1.40049,0.3528,0.23667,0.21547,0.13487,1.50064,2.1508,1.46218,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,3529.4,1.40079,1.88131,1.40032,0.36462,0.22906,0.21567,0.13663,1.49251,2.17575,1.46812,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,3689.77,1.39285,1.85151,1.38795,0.37928,0.25061,0.23314,0.14603,1.47894,2.12062,1.44193,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,3850.53,1.38357,1.82749,1.38258,0.39218,0.26438,0.24516,0.15527,1.45139,2.01858,1.4215,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,4011.03,1.38037,1.80845,1.37785,0.39312,0.25768,0.24213,0.15364,1.43878,1.99218,1.40098,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,4170.6,1.37035,1.7854,1.36648,0.39074,0.26305,0.25122,0.16036,1.44771,2.01372,1.41628,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,4330.18,1.36277,1.77077,1.36066,0.40296,0.26059,0.25069,0.15869,1.44292,1.97689,1.40434,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,4489.79,1.35654,1.74628,1.35612,0.4202,0.26568,0.25958,0.16545,1.43808,1.99526,1.40327,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,4649.22,1.3401,1.72595,1.34837,0.41665,0.27639,0.26829,0.17261,1.42659,1.94908,1.39525,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,4808.45,1.34436,1.71095,1.35082,0.41788,0.27008,0.2641,0.16907,1.43074,2.01655,1.40591,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,4968.44,1.34063,1.7011,1.34396,0.4057,0.2883,0.27555,0.17783,1.40638,1.88931,1.37933,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,5127.54,1.33031,1.67581,1.33962,0.43004,0.29575,0.28483,0.18296,1.39966,1.86781,1.37849,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,5286.43,1.32889,1.66277,1.3338,0.4175,0.29298,0.28415,0.18419,1.39917,1.88201,1.37713,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,5445.68,1.31907,1.64755,1.32926,0.4402,0.28916,0.28792,0.18659,1.40119,1.89845,1.37745,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,5604.25,1.31437,1.62789,1.32212,0.44083,0.30457,0.29757,0.19282,1.38441,1.84202,1.36101,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,5763.04,1.31144,1.61905,1.32099,0.44093,0.30593,0.30404,0.19794,1.38116,1.83059,1.36586,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,5922,1.3096,1.60714,1.32059,0.45007,0.31348,0.31008,0.20145,1.37083,1.79997,1.355,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,6080.56,1.30118,1.59583,1.31265,0.45475,0.30439,0.30289,0.19869,1.3647,1.81692,1.35075,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,6239.64,1.29604,1.5751,1.30831,0.45933,0.30621,0.30707,0.2013,1.36851,1.78573,1.34251,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,6398.5,1.29724,1.57042,1.30712,0.4363,0.31126,0.30932,0.203,1.36406,1.76298,1.34826,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,6556.94,1.28965,1.55633,1.30385,0.45689,0.32489,0.32473,0.21386,1.34863,1.7294,1.33137,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,6715.61,1.28758,1.53835,1.29989,0.43526,0.32362,0.3189,0.21081,1.35089,1.73337,1.33291,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,6874.07,1.2809,1.52147,1.29702,0.46013,0.32491,0.32856,0.21591,1.34938,1.71726,1.33818,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,7032.81,1.27492,1.51486,1.28983,0.44748,0.32316,0.32564,0.21582,1.34584,1.72809,1.33129,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,7191.53,1.27274,1.50692,1.28817,0.45739,0.32874,0.32916,0.21783,1.34516,1.70847,1.32823,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,7350.29,1.26583,1.49511,1.28258,0.47286,0.32874,0.33465,0.22222,1.33478,1.69528,1.32068,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,7508.69,1.25915,1.47488,1.28238,0.46307,0.34242,0.33724,0.22299,1.33336,1.68721,1.32,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,7667.09,1.25989,1.47334,1.27855,0.47997,0.33308,0.33653,0.22271,1.3317,1.68908,1.31981,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,7825.47,1.2591,1.46564,1.28155,0.46346,0.33318,0.33909,0.22547,1.32965,1.67221,1.31734,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
